county,precinct,office,district,candidate,party,votes,election_day,mail,early_voting,provisional,emergency,federal
Gloucester,Deptford Township - District 1,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,88,,,,,,
Gloucester,Deptford Township - District 2,Registered Voters,,,,1050,,,,,,
Gloucester,Deptford Township - District 2,Ballots Cast,,,,820,441,146,217,16,0,0
Gloucester,Deptford Township - District 2,Ballots Cast - Blank,,,,1,1,0,0,0,0,0
Gloucester,Deptford Township - District 2,President,,DONALD J. TRUMP,,425,,,,,,
Gloucester,Deptford Township - District 2,President,,KAMALA D. HARRIS,,373,,,,,,
Gloucester,Deptford Township - District 2,President,,ROBERT F. KENNEDY JR.,,5,,,,,,
Gloucester,Deptford Township - District 2,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 2,President,,RANDALL A. TERRY,,1,,,,,,
Gloucester,Deptford Township - District 2,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 2,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Deptford Township - District 2,President,,JILL STEIN,,7,,,,,,
Gloucester,Deptford Township - District 2,President,,CHASE OLIVER,,2,,,,,,
Gloucester,Deptford Township - District 2,President,,Write-ins,,4,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,CURTIS BASHAW,,389,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,ANDY KIM,,377,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,JOANNE KUNIANSKY,,3,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,CHRISTINA KHALIL,,7,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,KENNETH R. KAPLAN,,3,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,PATRICIA G. MOONEYHAM,,2,,,,,,
Gloucester,Deptford Township - District 2,U.S. Senate,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 2,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,405,,,,,,
Gloucester,Deptford Township - District 2,U.S. House,1,DONALD NORCROSS,,365,,,,,,
Gloucester,Deptford Township - District 2,U.S. House,1,ROBIN BROWNFIELD,,10,,,,,,
Gloucester,Deptford Township - District 2,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Deptford Township - District 2,U.S. House,1,Write-ins,,1,,,,,,
Gloucester,Deptford Township - District 2,SHERIFF,,JONATHAN M. SAMMONS,,406,,,,,,
Gloucester,Deptford Township - District 2,SHERIFF,,CARMEL MORINA,,375,,,,,,
Gloucester,Deptford Township - District 2,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 2,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,408,,,,,,
Gloucester,Deptford Township - District 2,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,401,,,,,,
Gloucester,Deptford Township - District 2,COUNTY COMMISSIONER,,TOM BIANCO,,370,,,,,,
Gloucester,Deptford Township - District 2,COUNTY COMMISSIONER,,DON HEVERLY,,360,,,,,,
Gloucester,Deptford Township - District 2,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 2,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,443,,,,,,
Gloucester,Deptford Township - District 2,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,442,,,,,,
Gloucester,Deptford Township - District 2,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,448,,,,,,
Gloucester,Deptford Township - District 2,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,72,,,,,,
Gloucester,Deptford Township - District 3,Registered Voters,,,,1327,,,,,,
Gloucester,Deptford Township - District 3,Ballots Cast,,,,944,567,159,204,14,0,0
Gloucester,Deptford Township - District 3,Ballots Cast - Blank,,,,1,0,0,1,0,0,0
Gloucester,Deptford Township - District 3,President,,DONALD J. TRUMP,,426,,,,,,
Gloucester,Deptford Township - District 3,President,,KAMALA D. HARRIS,,498,,,,,,
Gloucester,Deptford Township - District 3,President,,ROBERT F. KENNEDY JR.,,8,,,,,,
Gloucester,Deptford Township - District 3,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 3,President,,RANDALL A. TERRY,,1,,,,,,
Gloucester,Deptford Township - District 3,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 3,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Deptford Township - District 3,President,,JILL STEIN,,3,,,,,,
Gloucester,Deptford Township - District 3,President,,CHASE OLIVER,,0,,,,,,
Gloucester,Deptford Township - District 3,President,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,CURTIS BASHAW,,383,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,ANDY KIM,,511,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,JOANNE KUNIANSKY,,0,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,CHRISTINA KHALIL,,5,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,PATRICIA G. MOONEYHAM,,2,,,,,,
Gloucester,Deptford Township - District 3,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 3,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,397,,,,,,
Gloucester,Deptford Township - District 3,U.S. House,1,DONALD NORCROSS,,490,,,,,,
Gloucester,Deptford Township - District 3,U.S. House,1,ROBIN BROWNFIELD,,8,,,,,,
Gloucester,Deptford Township - District 3,U.S. House,1,AUSTIN JOHNSON,,4,,,,,,
Gloucester,Deptford Township - District 3,U.S. House,1,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 3,SHERIFF,,JONATHAN M. SAMMONS,,399,,,,,,
Gloucester,Deptford Township - District 3,SHERIFF,,CARMEL MORINA,,496,,,,,,
Gloucester,Deptford Township - District 3,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 3,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,398,,,,,,
Gloucester,Deptford Township - District 3,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,388,,,,,,
Gloucester,Deptford Township - District 3,COUNTY COMMISSIONER,,TOM BIANCO,,498,,,,,,
Gloucester,Deptford Township - District 3,COUNTY COMMISSIONER,,DON HEVERLY,,502,,,,,,
Gloucester,Deptford Township - District 3,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 3,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,502,,,,,,
Gloucester,Deptford Township - District 3,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,507,,,,,,
Gloucester,Deptford Township - District 3,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,512,,,,,,
Gloucester,Deptford Township - District 3,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,60,,,,,,
Gloucester,Deptford Township - District 4,Registered Voters,,,,1242,,,,,,
Gloucester,Deptford Township - District 4,Ballots Cast,,,,858,383,227,233,15,0,0
Gloucester,Deptford Township - District 4,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Deptford Township - District 4,President,,DONALD J. TRUMP,,360,,,,,,
Gloucester,Deptford Township - District 4,President,,KAMALA D. HARRIS,,468,,,,,,
Gloucester,Deptford Township - District 4,President,,ROBERT F. KENNEDY JR.,,4,,,,,,
Gloucester,Deptford Township - District 4,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 4,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Deptford Township - District 4,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 4,President,,CLAUDIA DE LA CRUZ,,3,,,,,,
Gloucester,Deptford Township - District 4,President,,JILL STEIN,,5,,,,,,
Gloucester,Deptford Township - District 4,President,,CHASE OLIVER,,5,,,,,,
Gloucester,Deptford Township - District 4,President,,Write-ins,,4,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,CURTIS BASHAW,,340,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,ANDY KIM,,482,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Deptford Township - District 4,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 4,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,360,,,,,,
Gloucester,Deptford Township - District 4,U.S. House,1,DONALD NORCROSS,,450,,,,,,
Gloucester,Deptford Township - District 4,U.S. House,1,ROBIN BROWNFIELD,,8,,,,,,
Gloucester,Deptford Township - District 4,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Deptford Township - District 4,U.S. House,1,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 4,SHERIFF,,JONATHAN M. SAMMONS,,354,,,,,,
Gloucester,Deptford Township - District 4,SHERIFF,,CARMEL MORINA,,470,,,,,,
Gloucester,Deptford Township - District 4,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 4,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,356,,,,,,
Gloucester,Deptford Township - District 4,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,342,,,,,,
Gloucester,Deptford Township - District 4,COUNTY COMMISSIONER,,TOM BIANCO,,469,,,,,,
Gloucester,Deptford Township - District 4,COUNTY COMMISSIONER,,DON HEVERLY,,467,,,,,,
Gloucester,Deptford Township - District 4,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 4,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,477,,,,,,
Gloucester,Deptford Township - District 4,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,475,,,,,,
Gloucester,Deptford Township - District 4,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,486,,,,,,
Gloucester,Deptford Township - District 4,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,18,,,,,,
Gloucester,Deptford Township - District 5,Registered Voters,,,,1171,,,,,,
Gloucester,Deptford Township - District 5,Ballots Cast,,,,806,455,154,186,11,0,0
Gloucester,Deptford Township - District 5,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Deptford Township - District 5,President,,DONALD J. TRUMP,,366,,,,,,
Gloucester,Deptford Township - District 5,President,,KAMALA D. HARRIS,,424,,,,,,
Gloucester,Deptford Township - District 5,President,,ROBERT F. KENNEDY JR.,,9,,,,,,
Gloucester,Deptford Township - District 5,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 5,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Deptford Township - District 5,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 5,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Deptford Township - District 5,President,,JILL STEIN,,1,,,,,,
Gloucester,Deptford Township - District 5,President,,CHASE OLIVER,,1,,,,,,
Gloucester,Deptford Township - District 5,President,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,CURTIS BASHAW,,315,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,ANDY KIM,,433,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,JOANNE KUNIANSKY,,3,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,KENNETH R. KAPLAN,,2,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,PATRICIA G. MOONEYHAM,,3,,,,,,
Gloucester,Deptford Township - District 5,U.S. Senate,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 5,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,333,,,,,,
Gloucester,Deptford Township - District 5,U.S. House,1,DONALD NORCROSS,,418,,,,,,
Gloucester,Deptford Township - District 5,U.S. House,1,ROBIN BROWNFIELD,,11,,,,,,
Gloucester,Deptford Township - District 5,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Deptford Township - District 5,U.S. House,1,Write-ins,,1,,,,,,
Gloucester,Deptford Township - District 5,SHERIFF,,JONATHAN M. SAMMONS,,319,,,,,,
Gloucester,Deptford Township - District 5,SHERIFF,,CARMEL MORINA,,440,,,,,,
Gloucester,Deptford Township - District 5,SHERIFF,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 5,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,335,,,,,,
Gloucester,Deptford Township - District 5,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,318,,,,,,
Gloucester,Deptford Township - District 5,COUNTY COMMISSIONER,,TOM BIANCO,,423,,,,,,
Gloucester,Deptford Township - District 5,COUNTY COMMISSIONER,,DON HEVERLY,,434,,,,,,
Gloucester,Deptford Township - District 5,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 5,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,434,,,,,,
Gloucester,Deptford Township - District 5,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,435,,,,,,
Gloucester,Deptford Township - District 5,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,465,,,,,,
Gloucester,Deptford Township - District 5,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,65,,,,,,
Gloucester,Deptford Township - District 6,Registered Voters,,,,1153,,,,,,
Gloucester,Deptford Township - District 6,Ballots Cast,,,,745,395,174,162,14,0,0
Gloucester,Deptford Township - District 6,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Deptford Township - District 6,President,,DONALD J. TRUMP,,253,,,,,,
Gloucester,Deptford Township - District 6,President,,KAMALA D. HARRIS,,467,,,,,,
Gloucester,Deptford Township - District 6,President,,ROBERT F. KENNEDY JR.,,9,,,,,,
Gloucester,Deptford Township - District 6,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 6,President,,RANDALL A. TERRY,,2,,,,,,
Gloucester,Deptford Township - District 6,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 6,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Deptford Township - District 6,President,,JILL STEIN,,2,,,,,,
Gloucester,Deptford Township - District 6,President,,CHASE OLIVER,,5,,,,,,
Gloucester,Deptford Township - District 6,President,,Write-ins,,3,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,CURTIS BASHAW,,225,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,ANDY KIM,,472,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,JOANNE KUNIANSKY,,8,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,KENNETH R. KAPLAN,,8,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,PATRICIA G. MOONEYHAM,,2,,,,,,
Gloucester,Deptford Township - District 6,U.S. Senate,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 6,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,242,,,,,,
Gloucester,Deptford Township - District 6,U.S. House,1,DONALD NORCROSS,,459,,,,,,
Gloucester,Deptford Township - District 6,U.S. House,1,ROBIN BROWNFIELD,,7,,,,,,
Gloucester,Deptford Township - District 6,U.S. House,1,AUSTIN JOHNSON,,3,,,,,,
Gloucester,Deptford Township - District 6,U.S. House,1,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 6,SHERIFF,,JONATHAN M. SAMMONS,,242,,,,,,
Gloucester,Deptford Township - District 6,SHERIFF,,CARMEL MORINA,,467,,,,,,
Gloucester,Deptford Township - District 6,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Deptford Township - District 6,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,252,,,,,,
Gloucester,Deptford Township - District 6,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,239,,,,,,
Gloucester,Deptford Township - District 6,COUNTY COMMISSIONER,,TOM BIANCO,,459,,,,,,
Gloucester,Deptford Township - District 6,COUNTY COMMISSIONER,,DON HEVERLY,,461,,,,,,
Gloucester,Deptford Township - District 6,COUNTY COMMISSIONER,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 6,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,408,,,,,,
Gloucester,Deptford Township - District 6,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,410,,,,,,
Gloucester,Deptford Township - District 6,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,444,,,,,,
Gloucester,Deptford Township - District 6,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,39,,,,,,
Gloucester,Deptford Township - District 7,Registered Voters,,,,631,,,,,,
Gloucester,Deptford Township - District 7,Ballots Cast,,,,437,327,53,51,6,0,0
Gloucester,Deptford Township - District 7,Ballots Cast - Blank,,,,0,0,0,0,0,0,0
Gloucester,Deptford Township - District 7,President,,DONALD J. TRUMP,,142,,,,,,
Gloucester,Deptford Township - District 7,President,,KAMALA D. HARRIS,,285,,,,,,
Gloucester,Deptford Township - District 7,President,,ROBERT F. KENNEDY JR.,,4,,,,,,
Gloucester,Deptford Township - District 7,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 7,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Deptford Township - District 7,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 7,President,,CLAUDIA DE LA CRUZ,,0,,,,,,
Gloucester,Deptford Township - District 7,President,,JILL STEIN,,3,,,,,,
Gloucester,Deptford Township - District 7,President,,CHASE OLIVER,,0,,,,,,
Gloucester,Deptford Township - District 7,President,,Write-ins,,2,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,CURTIS BASHAW,,129,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,ANDY KIM,,271,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,JOANNE KUNIANSKY,,3,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,CHRISTINA KHALIL,,8,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,PATRICIA G. MOONEYHAM,,1,,,,,,
Gloucester,Deptford Township - District 7,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 7,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,129,,,,,,
Gloucester,Deptford Township - District 7,U.S. House,1,DONALD NORCROSS,,266,,,,,,
Gloucester,Deptford Township - District 7,U.S. House,1,ROBIN BROWNFIELD,,9,,,,,,
Gloucester,Deptford Township - District 7,U.S. House,1,AUSTIN JOHNSON,,6,,,,,,
Gloucester,Deptford Township - District 7,U.S. House,1,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 7,SHERIFF,,JONATHAN M. SAMMONS,,131,,,,,,
Gloucester,Deptford Township - District 7,SHERIFF,,CARMEL MORINA,,278,,,,,,
Gloucester,Deptford Township - District 7,SHERIFF,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 7,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,131,,,,,,
Gloucester,Deptford Township - District 7,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,120,,,,,,
Gloucester,Deptford Township - District 7,COUNTY COMMISSIONER,,TOM BIANCO,,286,,,,,,
Gloucester,Deptford Township - District 7,COUNTY COMMISSIONER,,DON HEVERLY,,285,,,,,,
Gloucester,Deptford Township - District 7,COUNTY COMMISSIONER,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 7,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JAMES P. MCDEVITT,,224,,,,,,
Gloucester,Deptford Township - District 7,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,MARK L. GETSINGER,,209,,,,,,
Gloucester,Deptford Township - District 7,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,JUSTIN H. GREEN,,240,,,,,,
Gloucester,Deptford Township - District 7,BOARD OF EDUCATION - DEPTFORD - 3YR TERM,,Write-ins,,17,,,,,,
Gloucester,Deptford Township - District 8,Registered Voters,,,,908,,,,,,
Gloucester,Deptford Township - District 8,Ballots Cast,,,,641,412,113,103,13,0,0
Gloucester,Deptford Township - District 8,Ballots Cast - Blank,,,,1,0,0,1,0,0,0
Gloucester,Deptford Township - District 8,President,,DONALD J. TRUMP,,336,,,,,,
Gloucester,Deptford Township - District 8,President,,KAMALA D. HARRIS,,297,,,,,,
Gloucester,Deptford Township - District 8,President,,ROBERT F. KENNEDY JR.,,2,,,,,,
Gloucester,Deptford Township - District 8,President,,RACHELE FRUIT,,0,,,,,,
Gloucester,Deptford Township - District 8,President,,RANDALL A. TERRY,,0,,,,,,
Gloucester,Deptford Township - District 8,President,,JOSEPH KISHORE,,0,,,,,,
Gloucester,Deptford Township - District 8,President,,CLAUDIA DE LA CRUZ,,1,,,,,,
Gloucester,Deptford Township - District 8,President,,JILL STEIN,,1,,,,,,
Gloucester,Deptford Township - District 8,President,,CHASE OLIVER,,0,,,,,,
Gloucester,Deptford Township - District 8,President,,Write-ins,,1,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,CURTIS BASHAW,,283,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,ANDY KIM,,324,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,JOANNE KUNIANSKY,,1,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,CHRISTINA KHALIL,,3,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,KENNETH R. KAPLAN,,1,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,PATRICIA G. MOONEYHAM,,0,,,,,,
Gloucester,Deptford Township - District 8,U.S. Senate,,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 8,U.S. House,1,"THEODORE ""TEDDY"" LIDDELL",,296,,,,,,
Gloucester,Deptford Township - District 8,U.S. House,1,DONALD NORCROSS,,302,,,,,,
Gloucester,Deptford Township - District 8,U.S. House,1,ROBIN BROWNFIELD,,9,,,,,,
Gloucester,Deptford Township - District 8,U.S. House,1,AUSTIN JOHNSON,,1,,,,,,
Gloucester,Deptford Township - District 8,U.S. House,1,Write-ins,,0,,,,,,
Gloucester,Deptford Township - District 8,SHERIFF,,JONATHAN M. SAMMONS,,289,,,,,,
Gloucester,Deptford Township - District 8,SHERIFF,,CARMEL MORINA,,317,,,,,,
Gloucester,Deptford Township - District 8,SHERIFF,,Write-ins,,1,,,,,,
Gloucester,Deptford Township - District 8,COUNTY COMMISSIONER,,NICHOLAS DESILVIO,,292,,,,,,
Gloucester,Deptford Township - District 8,COUNTY COMMISSIONER,,CHRISTOPHER KONAWEL,,285,,,,,,
